Comment,Designator,Footprint,LCSC,Quantity
1k,"R10,R2,R3,R4,R6",R_0402_1005Metric,C11702,5
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C2,C8",C_0402_1005Metric,C1525,10
15p,"C3,C4",C_0402_1005Metric,C1548,2
10u,"C1,C19,C5",C_0805_2012Metric,C15850,3
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
220,R1,R_0402_1005Metric,C25091,1
27,"R7,R8",R_0402_1005Metric,C25100,2
33,R5,R_0402_1005Metric,C25105,1
10k,R16,R_0402_1005Metric,C25744,1
5.1k,R9,R_0402_1005Metric,C25905,1
~,U3,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335,1
TPS7A2033PDBVR,U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C2862740,1
~,USB1,USB-C-SMD_U261-121N-4BS2S,C2879827,1
RP2350_60QFN,U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1
3.3u,L1,L_pol_2016,C42411119,1
~,LED1,LED-SMD_4P-L3.2-W2.8_XZMDKCBDDG45S-9,C6851380,1
